Quadrant_No.,TVDSS_Driller,Platform,Completion_Date,url,Country_Code,lng,Completion_Status,Block_Suffix,Primary_Target,Block_No.,Deviated_Well,Date_TD_Reached,Drilling_Sequence_No.,lat,Water_Depth,Original_Intent,Datum_Elevation,Spud_Date,Well_Registration_No.,Datum_Type,Ground_Elevation,Wellbore_Type,Total_MD_Logger,Total_MD_Driller,Onshore/Offshore,Slot_No.
211,10128,M,1989-10-02,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=15&p_well_suffix=+,United Kingdom,1.307667,Completed,a,AA,12,Vertical,1989-09-12,15,61.620053,185.928,Development,56.9976,1989-06-06,211/12a-M15,KB,0,Initial,0,5297.1192,Offshore,A-1
211,10885.171,M,1988-02-28,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=13&p_well_suffix=+,United Kingdom,1.3072,Completed,a,CG,12,Vertical,1988-02-19,13,61.620114,609.6,Development,186.688,1987-11-25,211/12a-M13,KB,0,Initial,0,11561.68,Offshore,C-7
211,9721.9,M,1989-05-19,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=14&p_well_suffix=+,United Kingdom,1.307445,Completed,a,AF,12,Vertical,1989-05-02,14,61.619942,609.93,Development,186.688,1989-03-10,211/12a-M14,KB,0,Initial,0,12631.234,Offshore,A6
211,10203,M,1986-05-08,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=12&p_well_suffix=+,United Kingdom,1.307194,Completed,a,,12,Vertical,1986-04-27,12,61.620111,185.83656,Development,58.0644,1986-03-19,211/12a-M12,KB,0,Initial,0,3946.00176,Offshore,A-5
211,10438.32,M,1986-01-27,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=10&p_well_suffix=+,United Kingdom,1.3072,Abandoned,a,,12,Vertical,1986-01-13,10,61.620114,609.7,Development,186.9,1985-12-08,211/12a-M10,KB,0,Initial,0,12983.924,Offshore,A-3
211,10957.677,M,1987-11-23,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=11&p_well_suffix=+,United Kingdom,1.3072,Completed,a,,12,Vertical,1986-03-02,11,61.620114,609.7,Development,190.5,1985-01-30,211/12a-M11,KB,0,Initial,0,15015.092,Offshore,B-7
211,11178.478,M,1985-10-18,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=9&p_well_suffix=+,United Kingdom,1.3072,Abandoned,a,CC,12,Vertical,1985-10-14,9,61.620114,606.8,Development,190.5,1985-08-31,211/12a-M9,KB,0,Initial,0,13375.984,Offshore,C-3
211,10887.3,M,1985-11-09,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=8&p_well_suffix=+,United Kingdom,1.307194,Completed,a,CE,12,Vertical,1985-08-19,8,61.620111,185.83656,Development,56.96712,1985-07-06,211/12a-M8,KB,0,Initial,0,3779.55048,Offshore,C-5
211,10752.8,M,1985-12-02,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=8&p_well_suffix=A,United Kingdom,1.307194,Completed,a,CE,12,Vertical,1985-11-28,8,61.620111,184.95264,Development,58.0644,1985-11-08,211/12a-M8A,KB,0,Re-Spud,0,979.17,Offshore,C5
211,0,M,1985-06-07,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=7&p_well_suffix=+,United Kingdom,1.307194,Abandoned,a,BA,12,Vertical,1985-06-03,7,61.620111,179.95392,Development,56.96712,1985-03-08,211/12a-M7,KB,0,Initial,0,4560.84432,Offshore,B-1
211,10901.4,M,1985-06-30,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=7&p_well_suffix=Z,United Kingdom,1.307194,Completed,a,,12,Vertical,1985-06-17,7,61.620111,185.708544,Development,56.9025024,1985-06-07,211/12a-M7Z,KB,0,Sidetrack,0,4664.59824,Offshore,B-1
211,10844.16,M,1985-03-07,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=6&p_well_suffix=+,United Kingdom,1.3072,Suspended,a,OC,12,Vertical,1985-03-01,6,61.620114,609.908,Development,186.9,1985-02-06,211/12a-M6,KB,0,Initial,0,11581.365,Offshore,B3
211,11086.942,M,1985-01-29,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=5&p_well_suffix=+,United Kingdom,1.3072,Completed,a,CD,12,Vertical,1985-01-18,5,61.620114,609.908,Development,186.9,1984-12-22,211/12a-M5,KB,0,Initial,0,11673.228,Offshore,C-4
211,10915.354,M,1984-12-18,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=4&p_well_suffix=+,United Kingdom,1.3072,Completed,a,CB,12,Vertical,1984-12-04,4,61.620114,609.908,Development,186.9,1984-10-21,211/12a-M4,KB,0,Initial,4614.0,15137.795,Offshore,C-2
211,10505.577,M,1984-07-15,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=2&p_well_suffix=Z,United Kingdom,1.3072,Completed,a,,12,Vertical,1984-07-03,2,61.620114,609.6,Development,186.688,1984-04-26,211/12a-M2Z,KB,0,Sidetrack,0,12664.042,Offshore,A2
211,3328,M,1984-10-17,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=3&p_well_suffix=+,United Kingdom,1.307523,Completed,a,GC,12,Deviated,1984-10-03,3,61.619906,186.0,Development,57.0,1984-08-18,211/12a-M3,RT,0,Initial,0,4426.0,Offshore,C-6
211,10431.43,M,1989-03-01,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=2&p_well_suffix=+,United Kingdom,1.3072,Completed,a,,12,Vertical,1984-07-03,2,61.620114,609.908,Development,186.688,1984-04-12,211/12a-M2,KB,0,Initial,0,12765.748,Offshore,A2
211,,F,,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=F&p_drilling_seq_no=4&p_well_suffix=Z,United Kingdom,1.280916,,a,SW2,12,Deviated,,4,61.630821,616.8,Development,85.302,1997-04-28,211/12a-F4Z,KB,,Sidetrack,,,Offshore,SW2
211,10382.218,M,1984-04-03,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=M&p_drilling_seq_no=1&p_well_suffix=+,United Kingdom,1.3072,Completed,a,BE,12,Vertical,1984-03-17,1,61.620114,609.7,Development,186.9,1984-01-27,211/12a-M1,KB,0,Initial,0,10905.512,Offshore,B-5
211,9895.013,F,1997-04-28,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=F&p_drilling_seq_no=4&p_well_suffix=+,United Kingdom,1.280916,Abandoned,a,SW2,12,Deviated,1997-03-16,4,61.630821,616.8,Development,85.302,1997-01-30,211/12a-F4,KB,,Initial,,12860.892,Offshore,SW2
211,,F,1996-02-27,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=F&p_drilling_seq_no=2&p_well_suffix=+,United Kingdom,1.281517,Completed,a,W1,12,Vertical,1996-02-27,2,61.630917,616.8,Development,85.302,1995-11-15,211/12a-F2,KB,,Initial,,,Offshore,08
211,,F,,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=F&p_drilling_seq_no=3&p_well_suffix=+,United Kingdom,1.280528,,a,SW1,12,Vertical,,3,61.631006,616.8,Development,85.302,1996-10-30,211/12a-F3,KB,,Initial,,,Offshore,2
211,10767.717,,2003-05-28,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=+&p_drilling_seq_no=23&p_well_suffix=R,United Kingdom,1.262275,Completed,a,TP1,12,Deviated,2003-05-08,23,61.567972,1965.223,Development,85.302,2003-05-01,211/12a- 23,RT,,Sidetrack,,13687.664,Offshore,
211,3255,,1996-05-25,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=+&p_drilling_seq_no=22&p_well_suffix=+,United Kingdom,1.262275,Completed,a,X,12,Vertical,1996-04-01,22,61.567972,599.41,Appraisal,85.302,1996-02-12,211/12a- 22,KB,,Initial,4693.0,4693.0,Offshore,
211,10042.651,,1995-09-19,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=+&p_drilling_seq_no=21&p_well_suffix=+,United Kingdom,1.342139,Completed,a,MP5,12,Vertical,1995-09-18,21,61.652111,597.11,Development,85.302,1995-07-20,211/12a- 21,KB,,Initial,,12037.402,Offshore,D9
211,,,1995-11-06,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=+&p_drilling_seq_no=20&p_well_suffix=Y,United Kingdom,1.281517,Completed,a,LW2,12,Vertical,1995-07-07,20,61.631016,616.8,Development,85.302,1995-06-20,211/12a- 20Y,KB,0,Sidetrack,,16377.953,Offshore,
211,,,1995-06-01,https://www.og.decc.gov.uk/pls/wons/wdep0100.wellHeaderData?p_quadNo=211&p_blockNo=12&p_block_suffix=a&p_platform=+&p_drilling_seq_no=20&p_well_suffix=Z,United Kingdom,1.281517,Abandoned,a,LW2,12,Vertical,1995-05-30,20,61.631016,0,Development,0,1995-04-04,211/12a- 20Z,KB,0,Sidetrack,,,Offshore,
